correct	entityFindRange	findAns	findTrueEntity	findTrueRelation	languageLength	numOfCandidateEntity	numOfEntityLinkings	topWitchEntitySelected	topWitchRelationSelected	trueEntityLength	useFulTop1Entity	useFulTop1Relation
0	1	1	0	1	9	4	10	0	0	3	1	1
0	0	1	1	0	4	2	703	0	0	1	1	1
1	0	1	1	1	7	4	1	0	0	2	1	1
1	0	1	1	1	9	5	1	0	0	2	1	1
1	0	1	1	1	5	5	1	0	0	2	1	1
1	0	1	1	1	9	3	3	0	0	2	1	1
1	0	1	1	1	7	3	125	0	0	1	1	1
1	0	1	1	1	7	3	40	0	0	1	1	1
0	1	1	0	1	13	9	282	0	0	7	1	1
0	0	1	1	0	6	2	1	0	0	2	1	1
1	0	1	1	1	7	3	1	0	0	2	1	1
0	0	1	0	0	7	5	25	2	0	2	0	1
1	0	1	1	1	5	4	1	0	0	2	1	1
1	0	1	1	1	6	6	1	0	0	3	1	1
1	0	1	1	1	8	5	253	0	0	3	1	1
0	0	1	1	0	6	4	1	0	0	2	1	1
0	0	1	0	1	10	6	1	0	2	3	1	0
0	1	1	0	0	6	4	4	1	3	1	0	0
0	0	1	0	0	9	6	7	0	1	3	1	0
1	0	1	1	1	7	9	3	0	1	4	1	0
1	0	1	1	1	5	5	1	0	0	2	1	1
1	0	1	1	1	6	2	97	0	0	1	1	1
1	1	1	1	1	11	4	3	0	0	2	1	1
1	0	1	1	1	8	5	7	0	0	2	1	1
0	1	1	0	1	9	3	37	0	0	1	1	1
1	0	1	1	1	11	4	410	1	0	2	0	1
1	1	1	1	1	4	4	790	2	0	1	0	1
1	0	1	1	1	8	3	1	0	0	2	1	1
1	0	1	1	1	5	3	16	0	1	1	1	0
0	0	1	0	0	10	4	6	3	0	2	0	1
1	0	1	1	1	7	6	22	1	0	3	0	1
1	0	1	1	1	5	5	5	0	0	2	1	1
0	1	1	0	0	10	10	8	3	3	6	0	0
1	0	1	1	1	5	5	1	0	0	2	1	1
1	0	1	1	1	10	4	3	0	0	2	1	1
1	0	1	1	1	11	8	1	0	0	5	1	1
0	1	1	1	0	11	7	1	0	0	3	1	1
1	0	1	1	1	10	8	1	0	0	5	1	1
1	0	1	1	1	9	4	6	0	0	2	1	1
0	1	0	0	1	6	2	10	0	0	1	1	1
0	0	1	1	0	4	2	621	0	0	1	1	1
1	0	1	1	1	9	4	1	0	0	2	1	1
0	0	1	1	0	6	1	12	0	0	1	1	1
1	0	1	1	1	4	4	2	0	0	2	1	1
1	1	1	1	1	12	4	17	2	0	1	0	1
0	0	1	0	1	9	3	18	0	0	2	1	1
1	0	1	1	1	6	3	2	0	0	1	1	1
1	0	1	1	1	8	4	2	0	0	2	1	1
0	0	1	1	0	6	4	1	0	0	2	1	1
0	0	1	1	0	7	2	834	0	0	1	1	1
1	0	1	1	1	7	4	6	0	0	2	1	1
1	0	1	1	1	8	7	1	1	1	3	0	0
1	0	1	1	1	8	4	1	0	0	2	1	1
1	0	1	1	1	7	5	1	0	0	2	1	1
1	0	1	1	1	11	7	2	0	0	3	1	1
1	0	1	1	1	12	4	1	0	0	2	1	1
1	0	1	1	1	10	4	1	0	0	2	1	1
0	1	1	0	1	15	9	52	0	0	7	1	1
1	0	1	1	1	13	11	2	0	0	8	1	1
0	1	0	0	0	7	2	18	0	0	3	1	1
0	0	1	1	0	6	4	18	0	0	2	1	1
1	0	1	1	1	7	4	1	0	0	2	1	1
1	0	1	1	1	5	4	1	0	0	2	1	1
1	0	1	1	1	10	8	1	0	0	5	1	1
0	1	1	0	1	10	3	6	0	1	2	1	0
1	0	1	1	1	8	2	2	0	0	1	1	1
1	0	1	1	1	7	3	184	0	0	1	1	1
0	0	1	0	1	10	6	1	0	0	3	1	1
1	0	1	1	1	10	9	7	0	0	4	1	1
1	0	1	1	1	9	8	1	0	0	5	1	1
1	0	1	1	1	6	2	192	0	0	1	1	1
1	0	1	1	1	8	4	1	0	0	2	1	1
1	0	1	1	1	7	5	1	0	0	2	1	1
0	2	1	0	0	8	8	13	3	0	3	0	1
0	0	1	1	0	5	3	10	0	0	1	1	1
0	1	1	0	1	17	13	11	0	0	12	1	1
1	0	1	1	1	6	2	4	0	0	1	1	1
1	0	1	1	1	5	4	33	0	0	2	1	1
1	0	1	1	1	5	2	10	0	0	1	1	1
1	0	1	1	1	9	5	1	0	0	2	1	1
1	0	1	1	1	8	6	2	0	0	5	1	1
1	1	1	1	1	11	7	12	0	2	3	1	0
1	0	1	1	1	11	6	1	0	0	3	1	1
1	0	1	1	1	5	4	1	0	0	2	1	1
1	0	1	1	1	7	4	2	0	0	2	1	1
1	0	1	1	1	6	5	1	0	0	2	1	1
1	0	1	1	1	7	5	6	0	0	2	1	1
1	1	1	1	1	9	3	10	2	0	1	0	1
1	0	1	1	1	7	2	1	0	0	2	1	1
1	0	1	1	1	7	4	1	0	1	2	1	0
1	1	1	1	1	8	3	12	1	0	1	0	1
0	1	1	1	0	8	5	14	2	0	1	0	1
1	1	1	1	1	11	3	2	1	0	1	0	1
1	0	1	1	1	5	6	56	0	0	2	1	1
1	0	1	1	1	4	1	1	0	0	1	1	1
1	0	1	1	1	8	5	2	0	0	2	1	1
1	0	1	1	1	5	2	1641	0	0	1	1	1
0	0	0	0	0	11	1	1	0	0	1	1	1
1	0	1	1	1	9	8	2	0	0	4	1	1
1	0	1	1	1	8	4	2	0	0	2	1	1
0	1	1	0	1	11	7	10	2	1	5	0	0
0	0	1	1	0	7	4	1	0	0	2	1	1
1	0	1	1	1	12	4	1	0	0	2	1	1
0	0	0	0	0	7	1	12	0	0	2	1	1
0	0	1	1	0	8	5	13	0	0	3	1	1
0	1	1	0	1	11	3	3	0	0	4	1	1
1	0	1	1	1	6	5	1	0	0	2	1	1
0	0	1	0	0	9	3	7	1	3	2	0	0
1	1	1	1	1	9	5	1	0	0	3	1	1
1	0	1	1	1	8	5	3	0	0	2	1	1
0	1	1	1	0	5	3	1	0	1	2	1	0
1	1	1	1	1	10	6	15	0	0	3	1	1
1	1	1	1	1	8	4	35	1	0	1	0	1
0	1	1	0	0	7	7	1	0	1	5	1	0
1	1	1	1	1	10	4	1	1	0	2	0	1
0	0	1	1	0	9	5	27	0	0	2	1	1
1	0	1	1	1	8	4	1	0	0	2	1	1
1	1	1	1	1	14	9	8	0	0	5	1	1
1	0	1	1	1	5	5	1	0	0	2	1	1
0	1	0	0	1	13	4	4	0	0	3	1	1
1	0	1	1	1	8	4	1	0	0	2	1	1
0	0	1	0	0	5	4	36	3	3	2	0	0
1	0	1	1	1	8	3	1	0	0	2	1	1
1	0	1	1	1	6	4	1	0	0	2	1	1
0	1	1	0	1	11	7	37	2	0	5	0	1
0	0	1	1	0	5	2	1	0	0	2	1	1
1	0	1	1	1	7	3	706	0	0	1	1	1
1	0	1	1	1	8	5	412	0	0	2	1	1
0	0	1	0	0	5	2	17	0	3	1	1	0
1	0	1	1	1	10	6	1	0	0	3	1	1
0	1	0	0	1	8	2	2	0	0	2	1	1
1	1	1	1	1	11	7	2	1	0	2	0	1
1	1	1	1	1	7	4	1	1	0	1	0	1
0	1	1	0	0	5	3	10	1	0	1	0	1
0	0	1	1	0	10	6	8	0	0	2	1	1
0	1	1	0	1	11	6	344	1	0	8	0	1
1	1	1	1	1	8	7	1	0	0	4	1	1
1	0	1	1	1	9	6	8	0	0	4	1	1
1	1	1	1	1	5	4	1	0	1	2	1	0
1	0	1	1	1	8	6	1	0	0	3	1	1
1	0	1	1	1	8	4	2	0	0	2	1	1
0	0	1	1	0	6	4	1	1	2	2	0	0
0	1	0	0	1	12	5	2	0	0	3	1	1
1	0	1	1	1	7	3	1	0	0	1	1	1
0	1	1	0	0	8	1	6	0	3	8	1	0
1	1	1	1	1	7	3	5	2	0	1	0	1
1	0	1	1	1	8	5	1	0	0	3	1	1
1	0	1	1	1	9	5	2	0	0	3	1	1
1	1	1	1	1	13	9	24	0	0	4	1	1
0	0	1	1	0	6	3	1	0	0	1	1	1
1	0	1	1	1	10	8	1	0	0	4	1	1
1	1	1	1	1	9	6	1	0	0	3	1	1
1	0	1	1	1	7	5	2	0	0	2	1	1
0	0	1	0	1	9	2	3	0	0	3	1	1
1	0	1	1	1	12	5	1	0	0	3	1	1
1	0	1	1	1	4	4	1	0	0	2	1	1
1	0	1	1	1	6	2	9	0	0	1	1	1
1	1	1	1	1	10	8	9	0	0	3	1	1
1	0	1	1	1	7	6	54	0	0	2	1	1
1	2	1	1	1	6	4	7	2	0	1	0	1
1	0	1	1	1	9	5	4	0	0	3	1	1
1	1	1	1	1	10	6	11	5	0	1	0	1
1	0	1	1	1	8	5	2	0	0	2	1	1
1	0	1	1	1	6	5	1	0	0	2	1	1
0	1	1	0	0	6	3	6	0	2	1	1	0
1	0	1	1	1	8	2	1	0	0	3	1	1
1	0	1	1	1	9	4	854	0	0	2	1	1
0	1	1	0	0	12	6	10	0	1	6	1	0
0	1	0	0	1	11	5	10	0	0	6	1	1
1	0	1	1	1	6	4	2	0	0	2	1	1
1	0	1	1	1	6	2	1	0	0	2	1	1
1	1	1	1	1	8	4	16	0	0	2	1	1
0	0	1	1	0	10	10	1	0	0	5	1	1
1	0	1	1	1	11	3	2	0	0	2	1	1
1	0	1	1	1	5	4	1	0	0	2	1	1
1	0	1	1	1	10	4	1	0	0	3	1	1
1	0	1	1	1	7	3	1	0	0	2	1	1
1	0	1	1	1	9	7	1	0	0	3	1	1
0	0	1	1	0	8	4	2	0	0	2	1	1
1	1	1	1	1	13	4	2	0	3	3	1	0
0	0	1	1	0	6	4	1	0	0	2	1	1
1	0	1	1	1	5	5	4	0	0	2	1	1
1	0	1	1	1	5	4	1	0	0	2	1	1
1	1	1	1	1	8	2	1	0	0	3	1	1
1	0	1	1	1	10	6	1	0	0	5	1	1
0	0	1	0	1	7	6	3	0	0	3	1	1
0	1	1	1	0	8	3	7	1	2	1	0	0
0	0	1	0	1	10	9	11	0	0	4	1	1
1	0	1	1	1	8	4	1	0	0	2	1	1
0	1	1	0	0	10	5	6	1	1	2	0	0
1	0	1	1	1	7	4	1	0	1	2	1	0
1	0	1	1	1	7	5	1	0	1	2	1	0
1	0	1	1	1	11	4	1	0	0	2	1	1
1	0	1	1	1	7	5	3	0	0	2	1	1
0	1	1	0	1	12	6	31	0	0	6	1	1
1	0	1	1	1	9	7	2	0	0	4	1	1
1	0	1	1	1	5	5	1	0	1	2	1	0
0	0	1	0	1	7	3	5	0	0	2	1	1
1	0	1	1	1	11	5	2	0	0	2	1	1
1	0	1	1	1	6	2	1	0	0	2	1	1
1	0	1	1	1	7	3	1	0	0	2	1	1
0	0	1	1	0	6	4	1	1	0	2	0	1
1	0	1	1	1	5	3	1	0	0	1	1	1
1	0	1	1	1	8	4	1	0	0	2	1	1
0	1	1	0	0	9	5	41	1	0	2	0	1
0	1	1	0	1	6	3	10	0	0	1	1	1
1	0	1	1	1	9	7	1	0	0	4	1	1
0	1	1	0	0	8	4	44	2	3	1	0	0
0	1	1	0	0	8	2	13	0	0	3	1	1
1	0	1	1	1	10	10	22	0	1	5	1	0
1	0	1	1	1	4	4	1	0	1	2	1	0
1	0	1	1	1	6	2	2	0	0	1	1	1
1	0	1	1	1	8	4	120	0	0	2	1	1
1	1	1	1	1	10	5	2	1	0	2	0	1
1	0	1	1	1	5	3	6	0	0	1	1	1
1	0	1	1	1	8	5	1	0	1	2	1	0
1	0	1	1	1	8	4	1	0	0	2	1	1
0	1	1	1	0	7	3	198	0	0	1	1	1
1	0	1	1	1	6	1	11	0	0	1	1	1
1	0	1	1	1	11	3	2	0	0	2	1	1
1	0	1	1	1	9	5	1	0	0	2	1	1
1	0	1	1	1	8	7	8	0	0	3	1	1
0	0	1	1	0	6	2	4	0	0	1	1	1
1	1	1	1	1	8	6	1	1	0	2	0	1
1	0	1	1	1	6	2	1	0	0	1	1	1
1	0	1	1	1	4	1	46	0	1	1	1	0
1	1	1	1	1	6	3	2	1	0	1	0	1
0	1	1	0	0	11	5	6	1	1	1	0	0
1	0	1	1	1	12	4	8	0	0	2	1	1
0	1	1	0	1	16	13	3	1	0	10	0	1
1	1	1	1	1	8	6	10	0	0	2	1	1
1	0	1	1	1	10	4	1	0	0	2	1	1
1	0	1	1	1	8	4	1	0	0	2	1	1
1	0	1	1	1	8	5	3	0	1	2	1	0
0	1	1	0	0	10	10	10	0	3	7	1	0
1	0	1	1	1	5	2	2	0	0	1	1	1
1	0	1	1	1	7	1	63	0	0	1	1	1
1	0	1	1	1	4	3	1	0	0	2	1	1
1	1	1	1	1	9	6	1	0	0	2	1	1
1	1	1	1	1	8	3	1	1	0	1	0	1
0	0	1	1	0	8	3	1	0	0	2	1	1
1	0	1	1	1	5	5	3	0	0	2	1	1
1	0	1	1	1	7	4	48	0	0	2	1	1
1	0	1	1	1	9	4	1	0	0	2	1	1
0	1	1	0	0	7	4	2	1	2	1	0	0
0	0	1	0	1	11	4	73	0	0	2	1	1
0	0	1	1	0	8	3	32	0	0	1	1	1
1	1	1	1	1	10	4	16	3	0	1	0	1
1	1	1	1	1	6	2	1	0	0	1	1	1
1	0	1	1	1	5	5	1	0	0	2	1	1
1	1	1	1	1	9	5	1	0	1	3	1	0
0	1	1	0	1	13	7	354	0	0	7	1	1
0	0	1	1	0	8	4	1	0	0	2	1	1
1	0	1	1	1	9	6	1	0	0	2	1	1
1	0	1	1	1	8	4	1	0	0	2	1	1
1	1	1	1	1	12	5	1	0	0	2	1	1
1	0	1	1	1	7	3	1	0	0	2	1	1
1	0	1	1	1	8	3	1	0	2	2	1	0
1	0	1	1	1	6	5	2	0	0	2	1	1
0	1	1	1	0	6	5	153	0	0	4	1	1
0	1	1	1	0	9	5	1	0	0	2	1	1
1	0	1	1	1	8	6	1	1	0	2	0	1
0	0	1	1	0	7	3	9	0	0	2	1	1
0	1	1	0	0	5	1	10	0	0	2	1	1
1	0	1	1	1	9	2	2	0	0	1	1	1
1	0	1	1	1	4	4	1	0	0	2	1	1
1	1	1	1	1	9	9	12	0	0	4	1	1
0	1	1	0	0	8	6	35	1	2	6	0	0
1	1	1	1	1	12	6	68	0	0	3	1	1
1	1	1	1	1	11	6	2	0	0	4	1	1
0	1	1	0	0	8	4	37	1	1	5	0	0
1	0	1	1	1	10	5	4	0	1	2	1	0
0	1	1	0	1	9	5	6	1	0	1	0	1
1	0	1	1	1	4	1	5	0	0	1	1	1
1	0	1	1	1	11	5	1	0	0	4	1	1
1	0	1	1	1	7	2	44	0	0	1	1	1
